date,energy,time_hours,time_period,moth
2014-03-24,0.384,3,PM,March
2014-08-15,1.201,5,AM,August
2014-03-20,1.523,8,PM,March
2014-04-23,0.424,6,PM,April
2014-12-19,0.209,1,AM,December
2014-08-19,1.228,5,AM,August
2014-07-07,1.296,12,PM,July
2014-11-25,0.437,7,AM,November
2014-08-14,0.523,8,AM,August
2014-01-25,2.052,4,PM,January
2014-02-11,0.509,4,PM,February
2014-07-11,0.547,1,AM,July
2014-12-28,0.845,12,AM,December
2014-04-01,0.557,8,PM,April
2014-02-04,0.283,3,AM,February
2014-05-11,0.344,11,PM,May
2014-06-24,2.948,7,PM,June
2014-06-19,0.378,1,AM,June
2014-09-23,0.963,8,PM,September
2014-07-26,1.469,12,PM,July
2014-06-23,1.017,11,AM,June
2014-07-01,0.626,9,AM,July
2014-02-11,0.547,1,PM,February
2014-12-23,0.578,11,AM,December
2014-12-20,0.392,10,PM,December
2014-05-17,0.514,10,AM,May
2014-04-28,0.147,12,PM,April
2014-03-08,0.542,1,PM,March
2014-01-21,0.89,11,PM,January
2014-01-17,0.546,12,AM,January
2014-04-02,0.1,12,AM,April
2014-06-01,1.67,12,AM,June
2014-10-24,0.269,4,PM,October
2014-10-03,0.626,6,AM,October
2014-11-15,0.203,10,PM,November
2014-05-08,0.178,2,AM,May
2014-04-25,0.231,10,PM,April
2014-09-08,0.308,10,AM,September
2014-09-03,0.33,4,PM,September
2014-08-24,0.385,4,AM,August
2014-03-23,1.67,8,PM,March
2014-01-09,0.54,12,AM,January
2014-05-15,0.15,1,AM,May
2014-10-31,0.558,11,PM,October
2014-08-15,0.552,12,PM,August
2014-03-15,0.988,8,AM,March
2014-01-21,2.912,6,PM,January
2014-10-26,0.246,10,PM,October
2014-05-02,0.272,8,AM,May
2014-11-30,0.403,2,PM,November
2014-04-13,0.245,6,AM,April
2014-07-07,0.874,1,PM,July
2014-01-17,0.672,9,PM,January
2014-01-07,0.84,3,PM,January
2014-05-31,0.326,9,PM,May
2014-12-18,1.53,5,PM,December
2014-02-13,0.432,1,PM,February
2014-06-17,0.814,1,PM,June
2014-08-11,0.618,11,PM,August
2014-02-13,0.594,12,PM,February
2014-10-05,0.264,11,PM,October
2014-03-14,0.314,9,PM,March
2014-09-06,0.185,3,AM,September
2014-11-06,0.731,6,PM,November
2014-01-09,0.4,2,AM,January
2014-12-13,0.986,2,PM,December
2014-05-06,0.464,11,PM,May
2014-01-09,0.848,4,PM,January
2014-02-05,0.228,3,AM,February
2014-07-16,0.799,9,AM,July
2014-05-08,0.245,12,AM,May
2014-12-25,0.333,12,AM,December
2014-01-23,0.384,4,AM,January
2014-09-03,1.008,7,PM,September
2014-11-07,0.624,6,PM,November
2014-07-07,0.394,3,AM,July
2014-11-15,0.289,11,AM,November
2014-03-05,0.266,12,AM,March
2014-08-13,0.612,11,PM,August
2014-11-20,0.151,3,PM,November
2014-03-17,1.165,6,PM,March
2014-01-22,0.376,1,AM,January
2014-07-03,1.164,11,PM,July
2014-03-13,1.066,6,AM,March
2014-02-24,2.304,8,PM,February
2014-12-07,0.55,10,PM,December
2014-06-04,0.655,10,AM,June
2014-03-02,0.842,3,PM,March
2014-07-16,0.998,4,PM,July
2014-02-23,0.583,12,PM,February
2014-01-13,0.38,3,AM,January
2014-10-16,0.25,1,PM,October
2014-12-29,0.22,1,AM,December
2014-05-07,0.416,12,PM,May
2014-02-22,2.462,6,PM,February
2014-07-15,0.835,8,AM,July
2014-07-29,0.576,1,AM,July
2014-02-24,0.324,9,AM,February
2014-01-02,0.348,2,AM,January
2014-03-11,0.155,3,AM,March
2014-04-18,0.445,6,PM,April
2014-07-07,0.763,9,AM,July
2014-05-03,0.23,4,AM,May
2014-03-07,0.285,1,PM,March
2014-10-02,0.192,8,AM,October
2014-08-30,0.998,6,AM,August
2014-12-17,0.209,3,AM,December
2014-09-09,0.157,3,AM,September
2014-12-24,0.578,11,AM,December
2014-04-17,0.418,8,PM,April
2014-06-05,0.59,2,PM,June
2014-10-05,0.504,2,PM,October
2014-01-15,2.574,5,AM,January
2014-10-15,0.351,11,AM,October
2014-09-19,0.924,5,AM,September
2014-12-24,0.37,9,AM,December
2014-04-08,0.144,4,PM,April
2014-08-20,0.576,2,PM,August
2014-04-01,0.562,7,PM,April
2014-04-26,0.194,12,AM,April
2014-08-07,1.386,5,AM,August
2014-07-20,2.558,8,AM,July
2014-09-09,0.158,2,AM,September
2014-05-23,0.209,9,AM,May
2014-11-05,0.252,11,AM,November
2014-09-22,0.174,9,AM,September
